type,label,website,hostname,level
government_agency,embassy of Russia to Bahrain,https://bahrain.mid.ru,bahrain.mid.ru,central
government_agency,Bahrain Economic Development Board,https://www.bahrainedb.com/,bahrainedb.com,
government_agency,Bapco Energies,https://www.bapcoenergies.com/,bapcoenergies.com,
government_agency,"Embassy of France, Manama",https://bh.ambafrance.org/,bh.ambafrance.org,central
government_agency,"Embassy of Palestine, Manama",http://bh.mofa.pna.ps/ar-jo,bh.mofa.pna.ps,central
government_agency,"Embassy of the United States, Manama",https://bh.usembassy.gov/,bh.usembassy.gov,central
government_agency,Bahrain News Agency,https://www.bna.bh/,bna.bh,
government_agency,Bahrain Tourism and Exhibitions Authority,https://www.btea.bh,btea.bh,
government_agency,Labour Market Regulatory Authority,http://lmra.bh/portal/en/home,lmra.bh,
government_agency,"Embassy of Germany, Manama",https://manama.diplo.de,manama.diplo.de,central
government_agency,Mumtalakat Holding Company,https://mumtalakat.bh/,mumtalakat.bh,
government_agency,Council of Representatives,https://www.nuwab.bh/,nuwab.bh,central
government_agency,Quality Assurance Authority for Education and Training,http://www.qaa.edu.bh/,qaa.edu.bh,
government_agency,Supreme Judicial Council,http://www.sjc.bh,sjc.bh,central
government_agency,"Embassy of the United Arab Emirates, Manama",https://sp.mofaic.gov.ae/EN/DiplomaticMissions/Embassies/Manama/Pages/home.aspx,sp.mofaic.gov.ae,central
government_agency,embassy of Sudan in Bahrain,http://www.sudanimanama.com,sudanimanama.com,central
government_agency,Telecommunications Regulatory Authority of Bahrain,https://www.tra.org.bh,tra.org.bh,
