country_dir,government_type,capital,chief_of_state,head_of_government,judicial_highest_courts
AFG_afghanistan,theocratic; the United States does not recognize the Taliban Government,Kabul,Taliban Leader HAYBATULLAH Akhundzada (since 15 August 2021),overall Taliban Leader HAYBATULLAH Akhundzada is the [so-called] Amir-ul Momineen of the Taliban and is effectively the head of government,"the Taliban are purported to have appointed clerics, including a ""Chief Justice,"" to Afghanistan's Supreme Court"
AGO_angola,presidential republic,Luanda,President Joao Manuel Goncalves LOURENCO (since 26 September 2017),President Joao Manuel Goncalves LOURENCO (since 26 September 2017),"Supreme Court or Tribunal Supremo (consists of the court president, vice president, and a minimum of 16 judges); Constitutional Court or Tribunal Constitucional (consists of 11 judges)"
ALB_albania,parliamentary republic,Tirana (Tirane),President Bajram BEGAJ (since 24 July 2022),Prime Minister Edi RAMA (since 10 September 2013),"Supreme Court (consists of 19 judges, including the chief justice); Constitutional Court (consists of 9 judges, including the chairman)"
AND_andorra,"parliamentary democracy (since March 1993) that retains its chiefs of state in the form of a co-principality; the two princes are the President of France and Bishop of Seu d'Urgell, Spain",Andorra la Vella,Co-prince Emmanuel MACRON (since 14 May 2017); represented by Patrick STROZDA (since 14 May 2017); and Co-prince Archbishop Joan-Enric VIVES i Sicilia (since 12 May 2003); represented by Eduard Ibanez PULIDO (since 27 November 2023),Prime Minister Xavier Espot ZAMORA (since 16 May 2019),"Supreme Court of Justice of Andorra or Tribunal Superior de la Justicia d'Andorra (consists of the court president and 8 judges organized into civil, criminal, and administrative chambers); Constitutional Court or Tribunal Constitucional (consists of 4 magistrates)"
ARE_united_arab_emirates,federation of monarchies,Abu Dhabi,President MUHAMMAD BIN ZAYID Al Nuhayyan (since 14 May 2022),Prime Minister and Co-Vice President MUHAMMAD BIN RASHID Al Maktum (since 5 January 2006),Federal Supreme Court (consists of the court president and 4 judges; jurisdiction limited to federal cases)
ARG_argentina,presidential republic,Buenos Aires,President Javier Gerardo MILEI (since 10 December 2023),President Javier Gerardo MILEI (since 10 December 2023),"Supreme Court or Corte Suprema (consists of the court president, vice president, 2 judges, 1 vacancy)"
ARM_armenia,parliamentary democracy; note - constitutional changes adopted in December 2015 transformed the government to a parliamentary system,Yerevan,President Vahagn KHACHATURYAN (since 13 March 2022),Prime Minister Nikol PASHINYAN (since 10 September 2021),Court of Cassation or Appeals Court (consists of the Criminal Chamber with a chairman and 5 judges and the Civil and Administrative Chamber with a chairman and 10 judges – with both civil and administrative specializations); Constitutional Court (consists of 9 judges)
ATG_antigua_and_barbuda,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Saint John's,King CHARLES III (since 8 September 2022); represented by Governor General Rodney WILLIAMS (since 14 August 2014),Prime Minister Gaston BROWNE (since 13 June 2014),the Eastern Caribbean Supreme Court (ECSC) is the superior court of the Organization of Eastern Caribbean States; the ECSC is headquartered on St. Lucia and consists of the Court of Appeal -- headed by the chief justice and 4 judges -- and the High Court with 18 judges; the Court of Appeal travels to member states on a schedule to hear appeals from the High Court and subordinate courts
AUS_australia,federal parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Canberra,King CHARLES III (since 8 September 2022); represented by Governor General Samantha (Sam) MOSTYN (since 1 July 2024),Prime Minister Anthony ALBANESE (since 23 May 2022),"High Court of Australia (consists of 7 justices, including the chief justice); each of the 6 states, 2 territories, and Norfolk Island has a Supreme Court; the High Court is the final appellate court"
AUT_austria,federal parliamentary republic,Vienna,President Alexander VAN DER BELLEN (since 26 January 2017),Chancellor Christian STOCKER (since 3 March 2025),Supreme Court of Justice or Oberster Gerichtshof (consists of 85 judges organized into 17 senates or panels of 5 judges each); Constitutional Court or Verfassungsgerichtshof (consists of 20 judges including 6 substitutes; Administrative Court or Verwaltungsgerichtshof - 2 judges plus other members depending on the importance of the case)
AZE_azerbaijan,presidential republic,"Baku (Baki, Baky)",President Ilham ALIYEV (since 31 October 2003),Prime Minister Ali ASADOV (since 8 October 2019),"Supreme Court (consists of the chairman, vice chairman, and 23 judges in plenum sessions and organized into civil, economic affairs, criminal, and rights violations chambers); Constitutional Court (consists of 9 judges)"
BDI_burundi,presidential republic,"Gitega (political capital), Bujumbura (commercial capital)",President Evariste NDAYISHIMIYE (since 18 June 2020),Prime Minister Nestor NTAHONTUYE (since 5 August 2025)                ,"Supreme Court (consists of 9 judges and organized into judicial, administrative, and cassation chambers); Constitutional Court (consists of 7 members)"
BEL_belgium,federal parliamentary democracy under a constitutional monarchy,Brussels,King PHILIPPE (since 21 July 2013),Prime Minister Bart DE WEVER (since 3 February 2025),"Constitutional Court or Grondwettelijk Hof (in Dutch) and Cour Constitutionelle (in French) (consists of 12 judges - 6 Dutch-speaking and 6 French-speaking); Supreme Court of Justice or Hof van Cassatie (in Dutch) and Cour de Cassation (in French) (court organized into 3 chambers: civil and commercial; criminal; social, fiscal, and armed forces; each chamber includes a Dutch division and a French division, each with a chairperson and 5-6 judges)"
BEN_benin,presidential republic,Porto-Novo (constitutional capital); Cotonou (seat of government),President Patrice TALON (since 6 April 2016),President Patrice TALON (since 6 April 2016),"Supreme Court or Cour Supreme (consists of the chief justice and 16 justices organized into an administrative division, judicial chamber, and chamber of accounts); Constitutional Court or Cour Constitutionnelle (consists of 7 members, including the court president); High Court of Justice (consists of the Constitutional Court members, 6 members appointed by the National Assembly, and the Supreme Court president) "
BFA_burkina_faso,presidential republic,Ouagadougou,Transitional President Capt. Ibrahim TRAORE (since 30 September 2022),Prime Minister Rimtalba Jean Emmanuel OUEDRAOGO (since 9 December 2024),Supreme Court of Appeals or Cour de Cassation (consists of NA judges); Council of State (consists of NA judges); Constitutional Council or Conseil Constitutionnel (consists of the council president and 9 members)
BGD_bangladesh,parliamentary republic,Dhaka,President Mohammad SHAHABUDDIN Chuppi (since 24 April 2023),Interim Prime Minister Muhammad YUNUS (since 8 August 2024),Supreme Court of Bangladesh (organized into the Appellate Division with 7 justices and the High Court Division with 99 justices)
BGR_bulgaria,parliamentary republic,Sofia,President Rumen RADEV (since 22 January 2017),Prime Minister Rosen ZHELYAZKOV (since 16 January 2025),"Supreme Court of Cassation consists of a chairman and approximately 72 judges organized into penal, civil, and commercial colleges; Supreme Administrative Court is organized into 2 colleges with various panels of 5 judges each; Constitutional Court consists of 12 justices) and resides outside the judiciary"
BHR_bahrain,constitutional monarchy,Manama,King HAMAD bin Isa Al-Khalifa (since 6 March 1999),Prime Minister Crown Prince SALMAN bin Hamad Al-Khalifa (since 11 November 2020),Court of Cassation (consists of the chairman and 3 judges); Supreme Court of Appeal (consists of the chairman and 3 judges); Constitutional Court (consists of the president and 6 members); High Sharia Court of Appeal (court sittings include the president and at least one judge)
BHS_bahamas,parliamentary democracy under a constitutional monarchy; a Commonwealth realm,Nassau,King CHARLES III (since 8 September 2022); represented by Governor-General Cynthia A. PRATT (since 1 September 2023),Prime Minister Philip Edward DAVIS (since 17 September 2021),"Court of Appeal (consists of the court president and 6 justices, organized in 3-member panels); Supreme Court (consists of the chief justice and 19 justices)"
BIH_bosnia_and_herzegovina,parliamentary republic,Sarajevo,Chairperson of the Presidency Zeljko KOMSIC (chairperson since 16 July 2025; presidency member since 20 November 2018 - Croat seat); Denis BECIROVIC (presidency member since 16 November 2022 - Bosniak seat); Zeljka CVIJANOVIC (presidency member since 16 November 2022 - Serb seat),Chairperson of the Council of Ministers Borjana KRISTO (since 25 January 2023),"Bosnia and Herzegovina (BiH) Constitutional Court (consists of 9 members); Court of BiH (consists of 44 national judges and 7 international judges organized into 3 divisions - Administrative, Appellate, and Criminal, which includes a War Crimes Chamber)"
BLR_belarus,"presidential republic in name, although in fact a dictatorship",Minsk,President Alyaksandr LUKASHENKA (since 20 July 1994),Prime Minister Alyaksandr TURCHYN (since 10 March 2025),"Supreme Court (consists of the chairman and deputy chairman and organized into several specialized panels, including economic and military; number of judges set by the president of the republic and the court chairman); Constitutional Court (consists of 12 judges, including a chairman and deputy chairman)"
BLZ_belize,parliamentary democracy (National Assembly) under a constitutional monarchy; a Commonwealth realm,Belmopan,King CHARLES III (since 8 September 2022); represented by Governor-General Froyla TZALAM (since 27 May 2021),Prime Minister John BRICEÑO (since 12 November 2020),"Supreme Court of Judicature (consists of the Court of Appeal with the court president and 3 justices, and the Supreme Court with the chief justice and 10 justices); the Caribbean Court of Justice is the final court of appeal"
BOL_bolivia,presidential republic,La Paz (administrative capital); Sucre (constitutional [legislative and judicial] capital),President Rodrigo PAZ Pereira (since 8 November 2025),President Rodrigo PAZ Pereira (since 8 November 2025),"Supreme Court or Tribunal Supremo de Justicia (consists of 12 judges organized into civil, penal, social, and administrative chambers); Plurinational Constitutional Tribunal (consists of 7 primary and 7 alternate magistrates); Plurinational Electoral Organ (consists of 7 members and 6 alternates); National Agro-Environment Court (consists of 5 primary and 5 alternate judges; Council of the Judiciary (consists of 3 primary and 3 alternate judges)"
BRA_brazil,federal presidential republic,Brasília,President Luiz Inácio LULA da Silva (since 1 January 2023),President Luiz Inácio LULA da Silva (since 1 January 2023),Supreme Federal Court or Supremo Tribunal Federal (consists of 11 justices)
BRB_barbados,parliamentary republic; a Commonwealth realm,Bridgetown,President Jeffrey Davidson BOSTIC (since 30 November 2025),Prime Minister Mia MOTTLEY (since 25 May 2018),Supreme Court (consists of the High Court with 8 justices) and the Court of Appeal (consists of the High Court chief justice and president of the court and 4 justices; Caribbean Court of Justice is the final court of appeal
BRN_brunei,absolute monarchy or sultanate,Bandar Seri Begawan,Sultan and Prime Minister Sir HASSANAL Bolkiah (since 5 October 1967),Sultan and Prime Minister Sir HASSANAL Bolkiah (since 5 October 1967),"Supreme Court (consists of the Court of Appeal and the High Court, each with a chief justice and 2 judges); Sharia Court (consists the Court of Appeals and the High Court)"
BTN_bhutan,constitutional monarchy,Thimphu,King Jigme Khesar Namgyel WANGCHUCK (since 14 December 2006),Prime Minister Tshering TOBGAY (since 28 January 2024),Supreme Court (consists of the chief justice and 4 associate justices)
BWA_botswana,parliamentary republic,Gaborone,President Duma BOKO (since 1 November 2024),President Duma BOKO (since 1 November 2024),"Court of Appeal, High Court (each consists of a chief justice and a number of other judges as prescribed by the Parliament)"
CAF_central_african_republic,presidential republic,Bangui,President Faustin-Archange TOUADÉRA (since 30 March 2016),Prime Minister Félix MOLOUA (since 7 February 2022),"Supreme Court or Cour Supreme (number of judges unknown); Constitutional Court (consists of 9 judges, at least 3 of whom are women)"
CAN_canada,federal parliamentary democracy (Parliament of Canada) under a constitutional monarchy; a Commonwealth realm; federal and state authorities and responsibilities regulated in constitution,Ottawa,King CHARLES III (since 8 September 2022); represented by Governor General Mary SIMON (since 26 July 2021),Prime Minister Mark CARNEY (since 14 March 2025),Supreme Court of Canada (consists of the chief justice and 8 judges)
CHE_switzerland,federal republic (formally a confederation),Bern,President of the Swiss Confederation Guy PARMELIN (since 1 January 2026),President of the Swiss Confederation Guy PARMELIN (since 1 January 2026),Federal Supreme Court (consists of 38 justices and 19 deputy justices organized into 7 divisions)
CHL_chile,presidential republic,Santiago; note - Valparaiso is the seat of the national legislature,President Gabriel BORIC (since 11 March 2022),President Gabriel BORIC (since 11 March 2022),Supreme Court or Corte Suprema (consists of a court president and 20 members); Constitutional Court (consists of 10 members and is independent of the rest of the judiciary); Elections Qualifying Court (consists of 5 members)
CHN_china,communist party-led state,Beijing,President XI Jinping (since 14 March 2013),Premier LI Qiang (since 11 March 2023),"Supreme People's Court (consists of over 340 judges, including the chief justice and 13 grand justices organized into a civil committee and tribunals for civil, economic, administrative, complaint and appeal, and communication and transportation cases)"
CIV_cote_d_ivoire,presidential republic,"Yamoussoukro (legislative capital), Abidjan (administrative and economic capital); note - the US Embassy is in Abidjan",President Alassane Dramane OUATTARA (since 25 October 2025),Prime Minister Robert BREUGRE MAMBE (since 17 October 2023),"Supreme Court or Cour Supreme (organized into Judicial, Audit, Constitutional, and Administrative Chambers; consists of the court president, 3 vice presidents for the Judicial, Audit, and Administrative chambers, and 9 associate justices or magistrates)"
CMR_cameroon,presidential republic,Yaounde,President Paul BIYA (since 6 November 1982),Prime Minister Joseph NGUTE (since 4 January 2019),"Supreme Court of Cameroon (consists of 9 titular and 6 surrogate judges and organized into judicial, administrative, and audit chambers); Constitutional Council (consists of 11 members)"
COD_democratic_republic_of_the_congo,semi-presidential republic,Kinshasa,President Felix TSHISEKEDI (since 20 January 2024),Prime Minister Judith SUMINWA Tuluka (since 29 May 2024),Court of Cassation or Cour de Cassation (consists of 26 justices and organized into legislative and judiciary sections); Constitutional Court (consists of 9 judges)
COG_republic_of_the_congo,presidential republic,Brazzaville,President Denis SASSOU-Nguesso (since 1997),Prime Minister Anatole Collinet MAKOSSO (since 12 May 2021),Supreme Court or Cour Supreme (consists of NA judges); Constitutional Court (consists of 9 members)
COL_colombia,presidential republic,Bogotá,President Gustavo Francisco PETRO Urrego (since 7 August 2022),President Gustavo Francisco PETRO Urrego (since 7 August 2022),"Supreme Court of Justice or Corte Suprema de Justicia (consists of the Civil-Agrarian and Labor Chambers each with 7 judges, and the Penal Chamber with 9 judges); Constitutional Court (consists of 9 magistrates); Council of State (consists of 27 judges); Superior Judiciary Council (consists of 13 magistrates)"
COM_comoros,federal presidential republic,Moroni,President AZALI Assoumani (since 26 May 2016),President AZALI Assoumani (since 26 May 2016),Supreme Court or Cour Supreme (consists of 7 judges)
CPV_cape_verde,parliamentary republic,Praia,President Jose Maria Pereira NEVES (since 9 November 2021),Prime Minister Jose Ulisses CORREIA e SILVA (since 22 April 2016),"Supreme Court of Justice (consists of the chief justice and at least 7 judges and organized into civil, criminal, and administrative sections)"
